lon,lat,age (Ma),label,source
-157.24,57.05,1.0,positive,Diaz-Rodriguez et al. 2021
-158.4,56.52,4.0,positive,Diaz-Rodriguez et al. 2021
-127.85,50.68,5.0,positive,Diaz-Rodriguez et al. 2021
-157.24,57.05,6.0,positive,Diaz-Rodriguez et al. 2021
-127.58,50.33,6.0,positive,Diaz-Rodriguez et al. 2021
-158.41,56.15,7.0,positive,Diaz-Rodriguez et al. 2021
-160.68,55.63,7.0,positive,Diaz-Rodriguez et al. 2021
-127.5,50.38,7.0,positive,Diaz-Rodriguez et al. 2021
-159.42,55.89,8.0,positive,Diaz-Rodriguez et al. 2021
-160.68,55.64,8.0,positive,Diaz-Rodriguez et al. 2021
-160.63,55.25,15.0,positive,Diaz-Rodriguez et al. 2021
-122.08,46.36,17.0,positive,Diaz-Rodriguez et al. 2021
-121.64,47.68,18.0,positive,Diaz-Rodriguez et al. 2021
-120.98,48.2,21.0,positive,Diaz-Rodriguez et al. 2021
-121.37,47.5,25.0,positive,Diaz-Rodriguez et al. 2021
-130.48,55.4,27.0,positive,Diaz-Rodriguez et al. 2021
-121.5,48.01,28.0,positive,Diaz-Rodriguez et al. 2021
-109.63,44.02,29.0,positive,Diaz-Rodriguez et al. 2021
-101.95,19.0,33.0,positive,Diaz-Rodriguez et al. 2021
-102.08,19.08,34.0,positive,Diaz-Rodriguez et al. 2021
-137.08,59.02,34.0,positive,Diaz-Rodriguez et al. 2021
-107.75,27.01,34.0,positive,Diaz-Rodriguez et al. 2021
-125.3,49.76,35.0,positive,Diaz-Rodriguez et al. 2021
-125.25,49.76,35.0,positive,Diaz-Rodriguez et al. 2021
-115.5,32.42,36.0,positive,Diaz-Rodriguez et al. 2021
-125.98,49.26,37.0,positive,Diaz-Rodriguez et al. 2021
-126.81,50.03,38.0,positive,Diaz-Rodriguez et al. 2021
-100.99,26.71,39.0,positive,Diaz-Rodriguez et al. 2021
-109.29,43.87,40.0,positive,Diaz-Rodriguez et al. 2021
-109.67,44.03,40.0,positive,Diaz-Rodriguez et al. 2021
-112.36,47.03,46.0,positive,Diaz-Rodriguez et al. 2021
-110.07,29.9,47.0,positive,Diaz-Rodriguez et al. 2021
-107.4,26.23,47.0,positive,Diaz-Rodriguez et al. 2021
-126.9,54.81,48.0,positive,Diaz-Rodriguez et al. 2021
-131.55,57.06,48.0,positive,Diaz-Rodriguez et al. 2021
-127.27,54.23,48.0,positive,Diaz-Rodriguez et al. 2021
-127.69,53.75,48.0,positive,Diaz-Rodriguez et al. 2021
-127.02,53.86,48.0,positive,Diaz-Rodriguez et al. 2021
-127.18,53.85,48.0,positive,Diaz-Rodriguez et al. 2021
-129.42,55.42,49.0,positive,Diaz-Rodriguez et al. 2021
-125.41,49.68,49.0,positive,Diaz-Rodriguez et al. 2021
-125.96,49.25,49.0,positive,Diaz-Rodriguez et al. 2021
-125.99,49.27,49.0,positive,Diaz-Rodriguez et al. 2021
-107.24,25.01,49.0,positive,Diaz-Rodriguez et al. 2021
-126.31,55.41,49.0,positive,Diaz-Rodriguez et al. 2021
-109.6,32.93,50.0,positive,Diaz-Rodriguez et al. 2021
-127.44,53.8,50.0,positive,Diaz-Rodriguez et al. 2021
-111.32,43.09,50.0,positive,Diaz-Rodriguez et al. 2021
-109.15,28.37,50.0,positive,Diaz-Rodriguez et al. 2021
-126.32,55.19,50.0,positive,Diaz-Rodriguez et al. 2021
-109.5,30.3,51.0,positive,Diaz-Rodriguez et al. 2021
-126.16,54.94,51.0,positive,Diaz-Rodriguez et al. 2021
-110.07,29.9,52.0,positive,Diaz-Rodriguez et al. 2021
-107.35,25.67,52.0,positive,Diaz-Rodriguez et al. 2021
-126.0,54.85,52.0,positive,Diaz-Rodriguez et al. 2021
-126.2,55.27,52.0,positive,Diaz-Rodriguez et al. 2021
-109.73,30.38,52.0,positive,Diaz-Rodriguez et al. 2021
-126.24,55.29,52.0,positive,Diaz-Rodriguez et al. 2021
-107.72,26.99,52.0,positive,Diaz-Rodriguez et al. 2021
-107.75,27.0,52.0,positive,Diaz-Rodriguez et al. 2021
-126.9,54.81,53.0,positive,Diaz-Rodriguez et al. 2021
-107.68,27.57,53.0,positive,Diaz-Rodriguez et al. 2021
-126.23,55.0,53.0,positive,Diaz-Rodriguez et al. 2021
-126.88,56.11,53.0,positive,Diaz-Rodriguez et al. 2021
-109.72,30.38,53.0,positive,Diaz-Rodriguez et al. 2021
-110.03,32.09,53.0,positive,Diaz-Rodriguez et al. 2021
-109.63,30.34,53.0,positive,Diaz-Rodriguez et al. 2021
-110.32,30.95,54.0,positive,Diaz-Rodriguez et al. 2021
-110.66,29.93,54.0,positive,Diaz-Rodriguez et al. 2021
-119.34,49.39,54.0,positive,Diaz-Rodriguez et al. 2021
-109.6,32.93,55.0,positive,Diaz-Rodriguez et al. 2021
-111.12,31.87,55.0,positive,Diaz-Rodriguez et al. 2021
-109.62,28.53,55.0,positive,Diaz-Rodriguez et al. 2021
-106.1,23.27,55.0,positive,Diaz-Rodriguez et al. 2021
-109.5,30.3,56.0,positive,Diaz-Rodriguez et al. 2021
-108.07,32.79,56.0,positive,Diaz-Rodriguez et al. 2021
-109.34,33.09,56.0,positive,Diaz-Rodriguez et al. 2021
-108.07,32.81,56.0,positive,Diaz-Rodriguez et al. 2021
-108.37,32.63,56.0,positive,Diaz-Rodriguez et al. 2021
-109.7,30.27,56.0,positive,Diaz-Rodriguez et al. 2021
-141.32,63.52,56.0,positive,Diaz-Rodriguez et al. 2021
-111.02,31.97,56.0,positive,Diaz-Rodriguez et al. 2021
-110.07,29.9,57.0,positive,Diaz-Rodriguez et al. 2021
-107.35,25.67,57.0,positive,Diaz-Rodriguez et al. 2021
-110.76,31.83,57.0,positive,Diaz-Rodriguez et al. 2021
-122.6,51.13,57.0,positive,Diaz-Rodriguez et al. 2021
-109.66,28.39,57.0,positive,Diaz-Rodriguez et al. 2021
-109.75,30.48,57.0,positive,Diaz-Rodriguez et al. 2021
-118.62,49.01,57.0,positive,Diaz-Rodriguez et al. 2021
-109.8,28.41,57.0,positive,Diaz-Rodriguez et al. 2021
-126.9,54.81,58.0,positive,Diaz-Rodriguez et al. 2021
-142.51,63.37,58.0,positive,Diaz-Rodriguez et al. 2021
-110.48,32.75,58.0,positive,Diaz-Rodriguez et al. 2021
-111.07,31.98,58.0,positive,Diaz-Rodriguez et al. 2021
-109.03,27.0,58.0,positive,Diaz-Rodriguez et al. 2021
-108.23,26.72,58.0,positive,Diaz-Rodriguez et al. 2021
-111.03,31.88,58.0,positive,Diaz-Rodriguez et al. 2021
-108.08,32.85,59.0,positive,Diaz-Rodriguez et al. 2021
-110.32,30.95,59.0,positive,Diaz-Rodriguez et al. 2021
-110.45,31.12,59.0,positive,Diaz-Rodriguez et al. 2021
-110.18,30.85,59.0,positive,Diaz-Rodriguez et al. 2021
-110.28,31.0,59.0,positive,Diaz-Rodriguez et al. 2021
-110.95,33.4,59.0,positive,Diaz-Rodriguez et al. 2021
-111.22,33.04,60.0,positive,Diaz-Rodriguez et al. 2021
-110.72,31.49,60.0,positive,Diaz-Rodriguez et al. 2021
-111.0,33.38,60.0,positive,Diaz-Rodriguez et al. 2021
-106.1,23.6,60.0,positive,Diaz-Rodriguez et al. 2021
-110.74,33.42,60.0,positive,Diaz-Rodriguez et al. 2021
-109.02,27.17,60.0,positive,Diaz-Rodriguez et al. 2021
-110.97,33.16,61.0,positive,Diaz-Rodriguez et al. 2021
-109.46,30.41,61.0,positive,Diaz-Rodriguez et al. 2021
-110.94,33.33,61.0,positive,Diaz-Rodriguez et al. 2021
-110.9,33.34,61.0,positive,Diaz-Rodriguez et al. 2021
-121.42,50.92,61.0,positive,Diaz-Rodriguez et al. 2021
-104.4,29.81,61.0,positive,Diaz-Rodriguez et al. 2021
-110.76,31.83,62.0,positive,Diaz-Rodriguez et al. 2021
-110.42,31.06,62.0,positive,Diaz-Rodriguez et al. 2021
-111.43,33.04,62.0,positive,Diaz-Rodriguez et al. 2021
-111.42,33.12,62.0,positive,Diaz-Rodriguez et al. 2021
-111.8,32.96,63.0,positive,Diaz-Rodriguez et al. 2021
-112.85,32.36,63.0,positive,Diaz-Rodriguez et al. 2021
-124.49,51.22,63.0,positive,Diaz-Rodriguez et al. 2021
-110.43,31.04,63.0,positive,Diaz-Rodriguez et al. 2021
-108.08,32.85,64.0,positive,Diaz-Rodriguez et al. 2021
-110.45,31.12,64.0,positive,Diaz-Rodriguez et al. 2021
-110.73,33.07,64.0,positive,Diaz-Rodriguez et al. 2021
